Fiddler,Type,Title,Page
Padriag O'Keeffe,Reel,Bucks of Oranmore,25
Padriag O'Keeffe,Reel,Game of Love,28
Padriag O'Keeffe,Hornpipe,Fisherman's Hornpipe,29
Padriag O'Keeffe,Hornpipe,Byrne's Hornpipe,30
Denis Murphy,Hornpipe,Two Birds in a Tree,31
Denis Murphy,Reel,Kennedy's Reel,33
Denis Murphy,Reel,Untitled,33
Denis Murphy,Reel,Rolling in the Ryegrass,34
Denis Murphy,Reel,The Morning Star,35
Denis Murphy,Slide,Untitled,36
Denis Murphy,Polka,Untitled,37
Denis Murphy,Polka,Jim Doyle's Polka,38
Julia Clifford,Set Dance,Napolean's Retreat Across the Rhine,38
Julia Clifford,Hornpipe,Johnny Cope,41
Julia Clifford,Jig,Art OKeeffe's,43
Julia Clifford,Jig,John Mahony's No 2,44
Julia Clifford,Slides,Untitled,45
Julia Clifford,Polka,Julia Clifford's Polka,47
Julia Clifford,Polka,Bill the Weaver,48
Julia Clifford,Polka,Ballydesmonds,49
Julia Clifford,Polka,As I Looked East and I Looked West,51
Paddy Cronin,Reel,Dowd's Number Nine,54
Paddy Cronin,Reel,Jenny's Welcome to Charlie,55
Paddy Cronin,Reel,Dowd's Favourite,57
Paddy Cronin,Reel,Paddy Ryans Dream,58
Paddy Cronin,Hornpipe,The Bashful Bachelor,59
Paddy Cronin,Hornpipe,Biddy Mickey's Hornpipe,59
Paddy Cronin,Slip Jig,Drops of Brandy,60
Paddy Cronin,Slip Jig,Kid on the Mountain,61
Paddy Cronin,Jig,Farewell to Ballinahula,62
Paddy Cronin,Polka,Tom Billy's Polka,63
Paddy Cronin,Polka,Des Tarrant's Polka,63
Paddy Cronin,Jig,The Kilkenny,64
Martin Mulvihill,Hornpipe,Flynns Hornpipe,72
Martin Mulvihill,Reel,Bridget Flynn's Reel,72
Martin Mulvihill,Hornpipe,Breen's Hornpipe,73
Martin Mulvihill,Jig,Sean Duine Doite,74
Martin Mulvihill,Polka,Wallace's Cross,74
Patrick Kelly,Reel,Drowsy Maggie,76
Patrick Kelly,Reel,The Morning Star,76
Patrick Kelly,Reel,The Milliner's Daughter,77
Patrick Kelly,Reel,The Salamanca Reel,78
Patrick Kelly,Reel,The Bucks of Oranmore,79
Patrick Kelly,Reel,The Foxhunter's Reel,80
Patrick Kelly,Jig,Patsy Geary's,82
Patrick Kelly,Jig,The Rambling Pitchfork,83
Patrick Kelly,Jig,Banish Misfortune,84
Patrick Kelly,Jig,Gillan's Apples,85
Patrick Kelly,Set Dance,Mount Phoebus' Hunt,86
Bobby Casey,Reel,The Old Bush,88
Bobby Casey,Reel,My Love is in America,89
Bobby Casey,Reel,The Bank of Ireland,90
Bobby Casey,Reel,The Porthole of Kelp,91
Bobby Casey,Reel,The Sailor's Return,92
Bobby Casey,Reel,Colonel Frazer,93
Bobby Casey,Jig,Down the Back Land,96
Bobby Casey,Jig,Donnybrook Fair,97
Bobby Casey,Jig,The Gallowglass,98
Bobby Casey,Jig,Jimmy Ward's,99
Bobby Casey,Set Dance,The Drunkden Gauger,100
Bobby Casey,Set Dance,Poll Halfpenny,102
Bobby Casey,Set Dance,Sean O Buibhir a'Ghleanna,103
Bobby Casey,Set Dance,The Garden of Daisies,105
Bobby Casey,Reel,The Connacht Heifers,106
Junior Crehan,Reel,Farewell to Milltown Malbay,108
Junior Crehan,Reel,The Corner House,109
Junior Crehan,Hornpipe,Caislean an Oir,110
Junior Crehan,Jig,The Mist Covered Mountain,111
John Kelly,Reel,The Cabin Hunter,114
John Kelly,Reel,Delia Crowley's Reel,114
John Kelly,Reel,Gibert Clancy's Reel,115
John Kelly,Reel,The Bunch of Keys,116
John Kelly,Reel,The Ivy Leaf,117
John Kelly,Jig,We Were Drinking and Kissing the Ladies,118
John Kelly,Jig,Mickey Callaghan's Jig,119
John Kelly,Jig,The Humours of Kilclogher,120
John Kelly,Fling,Mary Brennan's Fling,121
John Kelly,Slip Jig,Elizabeth Kelly's Favourite,121
Joe Ryan,Reel,Toss The Feathers,124
Joe Ryan,Reel,The Maids of Mitchelstown,124
Joe Ryan,Reel,Repeal of the Union,125
Paddy Canny,Reel,The Boys of Ballisodare,128
Paddy Canny,Reel,Bunker Hill,129
Paddy Canny,Reel,Kitty Gone a-Milking,130
Paddy Canny,Reel,The Humours of Scariff,130
Paddy Canny,Reel,Music in the Glen,131
Paddy Canny,Reel,Miss Johnston,132
Paddy Canny,Reel,The Graf Spee,133
Paddy Canny,Reel,The Steampacket,134
Paddy Canny,Reel,In the Tap Room,135
Paddy Canny,Reel,The Star of Munster,136
Paddy Canny,Reel,The Bunch of Green Rushes,137
Paddy Canny,Jig,The Cliffs of Moher,138
Paddy Canny,Jig,Coppers and Brass,139
Sean Ryan,Reel,Paddy Kelly's Reel,142
Sean Ryan,Reel,The Pidgeon on the Gate,143
Sean Ryan,Reel,The Blockers,143
Sean Ryan,Reel,Miss Monaghan,144
Sean Ryan,Reel,Tom Steele,145
Sean Ryan,Hornpipe,The Swan,146
Sean Ryan,Jig,Seamus Connolly's Jig,147
Sean Ryan,Jig,McMahon's Hornpipe,147
Sean Ryan,Jig,The Castle,148
